term_str,n,p,i,n_chars,porter_stem,stop,max_pos,max_pos_group
space,2,1.989930949396056e-05,15.61692210431726,5,space,False,NN,n
spar,1,9.94965474698028e-06,16.616922104317258,4,spar,False,NN,n
spare,4,3.979861898792112e-05,14.61692210431726,5,spare,False,JJ,j
spark,3,2.984896424094084e-05,15.031959603596103,5,spark,False,NN,n
sparkling,1,9.94965474698028e-06,16.616922104317258,9,sparkl,False,VBG,v
speak,13,0.00012934551171074363,12.916482386176167,5,speak,False,VB,v
speaker,1,9.94965474698028e-06,16.616922104317258,7,speaker,False,NN,n
speaking,3,2.984896424094084e-05,15.031959603596103,8,speak,False,VBG,v
speaks,3,2.984896424094084e-05,15.031959603596103,6,speak,False,VBZ,v
special,10,9.949654746980279e-05,13.294994009429898,7,special,False,JJ,j
specialty,2,1.989930949396056e-05,15.61692210431726,9,specialti,False,NN,n
species,1,9.94965474698028e-06,16.616922104317258,7,speci,False,NNS,n
specifically,1,9.94965474698028e-06,16.616922104317258,12,specif,False,RB,r
spectacular,5,4.9748273734901396e-05,14.294994009429898,11,spectacular,False,JJ,j
spectating,1,9.94965474698028e-06,16.616922104317258,10,spectat,False,NN,n
specter,8,7.959723797584224e-05,13.61692210431726,7,specter,False,NNP,n
specters,1,9.94965474698028e-06,16.616922104317258,8,specter,False,NNS,n
spector,9,8.954689272282252e-05,13.446997102874947,7,spector,False,NNP,n
speech,2,1.989930949396056e-05,15.61692210431726,6,speech,False,NN,n
speed,3,2.984896424094084e-05,15.031959603596103,5,speed,False,NN,n
speeder,1,9.94965474698028e-06,16.616922104317258,7,speeder,False,NN,n
speedily,2,1.989930949396056e-05,15.61692210431726,8,speedili,False,RB,r
speeds,1,9.94965474698028e-06,16.616922104317258,6,speed,False,VBZ,v
spell,29,0.0002885399876624281,11.758941109189687,5,spell,False,NN,n
spells,5,4.9748273734901396e-05,14.294994009429898,6,spell,False,NNS,n
spend,3,2.984896424094084e-05,15.031959603596103,5,spend,False,VB,v
spending,2,1.989930949396056e-05,15.61692210431726,8,spend,False,VBG,v
spends,1,9.94965474698028e-06,16.616922104317258,6,spend,False,VBZ,v
spent,7,6.964758322886195e-05,13.809567182259656,5,spent,False,VBD,v
spewing,1,9.94965474698028e-06,16.616922104317258,7,spew,False,VBG,v
spews,1,9.94965474698028e-06,16.616922104317258,5,spew,False,NNS,n
spicy,1,9.94965474698028e-06,16.616922104317258,5,spici,False,RB,r
spies,1,9.94965474698028e-06,16.616922104317258,5,spi,False,NNS,n
spin,1,9.94965474698028e-06,16.616922104317258,4,spin,False,VB,v
spinning,1,9.94965474698028e-06,16.616922104317258,8,spin,False,VBG,v
spins,1,9.94965474698028e-06,16.616922104317258,5,spin,False,VBZ,v
spirit,43,0.000427835154120152,11.190657349615162,6,spirit,False,NN,n
spirits,18,0.00017909378544564504,12.446997102874947,7,spirit,False,NNS,n
spit,2,1.989930949396056e-05,15.61692210431726,4,spit,False,NN,n
spite,3,2.984896424094084e-05,15.031959603596103,5,spite,False,NN,n
spiteful,1,9.94965474698028e-06,16.616922104317258,8,spite,False,JJ,j
splendid,6,5.969792848188168e-05,14.031959603596103,8,splendid,False,JJ,j
