term_str,PC0,PC1,PC2,PC3,PC4
added,-1.9739202782821244e-05,-4.13177782430298e-05,0.00015142533149691933,1.4449803592113965e-05,-4.586409990300712e-05
addition,-1.0310919426322938e-05,-2.2826063759448474e-05,0.00010879576173084651,1.4648052819501154e-05,-3.167533546792437e-05
address,-2.1464773524267744e-05,-3.862086642161213e-05,-1.9569999014057506e-05,-4.365361359893004e-05,7.055874460957797e-05
addressed,-9.260811473136898e-06,-1.6652504432408217e-05,-3.465533999120868e-05,0.00014786839378884208,5.6998877024992504e-06
addresses,-1.1991314478700102e-05,-1.919711303963962e-05,-2.8112479443661385e-05,-3.0208678337733182e-05,7.956372495121113e-06
adjourned,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
adjustments,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
admirable,-1.3824931267568941e-05,-2.2808258345088377e-05,-3.0178662849025052e-05,-3.0242663178196575e-05,5.884354652778521e-06
admiration,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
admired,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
admit,-1.2346476291717726e-05,-2.213087919537796e-05,-2.8931214798494673e-05,-3.589626997829423e-05,1.3072221006167883e-05
admitted,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
admonition,-7.701796971080249e-06,-1.3302071444386432e-05,-2.118298283289607e-05,-1.3966243667950595e-05,-3.9096045353798374e-05
ado,-1.2123676310500137e-05,-2.1594885134669573e-05,-3.4222983124979136e-05,-3.9257749961793595e-05,-7.911901160926097e-05
adopt,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
adopted,-8.230984194477592e-06,-1.4753919463583698e-05,-1.9287476532327646e-05,-2.3930846652193635e-05,8.714814004111074e-06
adorable,-8.740419975390173e-06,-1.5985066980022623e-05,-2.5230472845474032e-05,-3.9275398979919814e-05,-6.820572682755698e-05
adore,-1.0637321244643162e-05,-2.2270213414548852e-05,7.310979060368658e-05,1.978038104284252e-06,-2.0142887256128975e-05
adored,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
adriano,-1.3866026995135076e-05,-2.253802623377149e-05,-3.135355783803537e-05,-1.0791163157893955e-05,9.698090599469093e-07
adriatic,-5.5464107980543984e-05,-9.015210493509197e-05,-0.0001254142313521498,-4.3164652631578705e-05,3.879236239787956e-06
adrienne,-6.933013497566917e-06,-1.126901311688474e-05,-1.567677891901629e-05,-5.3955815789465e-06,4.849045299734206e-07
adult,-7.153711789610206e-05,0.0001909585969469936,8.341608087974363e-06,-2.835630715945795e-06,2.5579437151922555e-07
advance,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
advanced,-1.8915228397549457e-05,-3.569104459932099e-05,1.3202794848411746e-05,5.2844325214340495e-05,-5.7745328546082775e-06
advances,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
advantage,-9.645741042459956e-06,-1.5965372851838048e-05,-2.0575159724583076e-05,-1.1130128108385491e-05,1.20509134788528e-06
adventure,-1.2817522812237458e-05,-2.2886295854644935e-05,-2.50068745280897e-06,-2.021849423435346e-05,6.572680642491755e-05
advice,-1.9327801486400146e-05,-3.293663818756309e-05,-4.4451005133722716e-05,-3.4425000530887186e-05,1.035389739827095e-05
advise,-7.701796971080249e-06,-1.3302071444386432e-05,-2.118298283289607e-05,-1.3966243667950595e-05,-3.9096045353798374e-05
aerial,-1.0790984303700734e-05,-1.8117500625895715e-05,-2.7178562466193728e-05,-1.4276450848329497e-05,-2.846994263919355e-05
aeronautical,-1.5856829111035153e-05,-2.7153865628235018e-05,-3.4792675586483276e-05,-3.059775080032518e-05,1.4773128298172499e-06
affair,-4.115492097238796e-06,-7.376959731791849e-06,-9.643738266163823e-06,-1.1965423326096818e-05,4.357407002055537e-06
affected,-7.701796971080249e-06,-1.3302071444386432e-05,-2.118298283289607e-05,-1.3966243667950595e-05,-3.9096045353798374e-05
affecting,-6.148609829199116e-06,-1.0383340289635737e-05,-1.2227400575356544e-05,-9.699178155078256e-06,1.1494490171502262e-06
afflicted,-5.642427208804352e-06,-9.974139249283243e-06,-1.2581648285484126e-05,-1.036648891901398e-05,-2.8113248700661777e-06
afford,-1.486997243415242e-05,-2.8513664073389245e-05,4.309621334768628e-05,-8.56791944543486e-06,-1.3119249915270594e-05
afraid,4.614479411390271e-05,-6.254483818628957e-05,0.0001165060916306339,2.0142021814010055e-05,-3.780654791663539e-05
afresh,-9.260811473136898e-06,-1.6652504432408217e-05,-3.465533999120868e-05,0.00014786839378884208,5.6998877024992504e-06
after,-2.3569038142798728e-05,-5.274280178624691e-06,-2.1439036876426062e-05,1.3641380978784407e-05,-7.558588319557201e-06
afternoon,-1.2916464018453506e-05,-2.5394373588421454e-05,4.551133491522673e-05,-6.5863622226340394e-06,-3.876652298228384e-05
again,-0.0,0.0,0.0,0.0,0.0
against,-2.5473981991168805e-05,-4.5242797509497756e-05,-2.4691148923292394e-05,-4.115273708074492e-05,-2.733457491566139e-05
age,4.281394738199104e-05,2.5504538194004064e-05,6.60927043731241e-06,4.416784877433182e-06,-1.4275381582428012e-05
aged,-1.1427882694008294e-05,-2.0439854689547884e-05,-2.805361394382588e-05,-3.692801385940159e-05,-5.027380469534556e-05
agent,-9.272507051955668e-06,-1.566364827447067e-05,-2.083636443835738e-05,-1.1622170010447936e-05,-1.7153871194661645e-06
